id_notificacao;data_hora;data;ano_mes;id_fazenda;id_talhao;tipo_notificacao;prioridade;titulo;mensagem;recomendacao;lida;status_notificacao
NOTIF_001;2025-01-08 08:30;2025-01-08;2025-01;FZ004;TALHAO_30;Saúde da lavoura;Alta;Talhão 30 entrou em status crítico;Score de saúde do talhão ficou em 45,8 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_002;2025-01-15 10:15;2025-01-15;2025-01;FZ003;TALHAO_28;Clima e solo;Alta;Risco climático no Talhão 28;Déficit hídrico estimado em 101,4 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_003;2025-01-22 16:40;2025-01-22;2025-01;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 77,7% e score 70,9.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_004;2025-02-08 08:30;2025-02-08;2025-02;FZ001;TALHAO_10;Saúde da lavoura;Alta;Talhão 10 entrou em status crítico;Score de saúde do talhão ficou em 47,6 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_005;2025-02-15 10:15;2025-02-15;2025-02;FZ002;TALHAO_22;Clima e solo;Alta;Risco climático no Talhão 22;Déficit hídrico estimado em 98,8 mm e umidade do solo em 34,7%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_006;2025-02-22 16:40;2025-02-22;2025-02;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 73,8% e score 70,7.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_007;2025-03-08 08:30;2025-03-08;2025-03;FZ003;TALHAO_28;Saúde da lavoura;Alta;Talhão 28 entrou em status crítico;Score de saúde do talhão ficou em 38,1 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_008;2025-03-15 10:15;2025-03-15;2025-03;FZ002;TALHAO_20;Clima e solo;Alta;Risco climático no Talhão 20;Déficit hídrico estimado em 109,1 mm e umidade do solo em 18,2%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_009;2025-03-22 16:40;2025-03-22;2025-03;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 75,8% e score 75,5.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_010;2025-04-08 08:30;2025-04-08;2025-04;FZ003;TALHAO_25;Saúde da lavoura;Alta;Talhão 25 entrou em status crítico;Score de saúde do talhão ficou em 40,6 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
